Geogname,Year,Datagroup,Diseases of the Respiratory System,Infectious and Parasitic Diseases,Respiratory System: asthma,Respiratory System: Pneumonia,Males,Females,Both Genders,min temperature,max temperature,Respiratory System: COPD
14,1997,4,168,36,4,8,69,67,136,-2.692308,17.523077,3
14,1998,4,194,30,3,8,70,59,129,-2.692308,17.523077,4
14,1999,4,179,20,1,8,67,60,127,-2.692308,17.523077,4
14,2000,4,158,31,3,7,66,60,126,-2.692308,17.523077,4
14,1995,4,199,34,2,8,65,65,130,-2.692308,17.523077,5
14,1996,4,182,28,2,7,69,63,132,-2.692308,17.523077,5
15,1995,1,9,59.724409,0,2,28,19,47,-2.692308,17.523077,0
15,1996,1,7,6,0,1,30,21,51,-2.692308,17.523077,0
15,1996,2,16,1,0,3,33,23,56,-2.692308,17.523077,0
15,1997,0,21,3,0,3,18,17,35,-2.692308,17.523077,0
15,1997,1,5,2,0,1,27,18,45,-2.692308,17.523077,0
15,1998,1,11,1,0,2,25,15,40,-2.692308,17.523077,0
15,1999,0,18,4,0,2,12,16,28,-2.692308,17.523077,0
15,1999,1,10,1,0,0,23,14,37,-2.692308,17.523077,0
15,2000,1,11,59.724409,0,2,25,16,41,-2.692308,17.523077,0
15,2000,2,11,1,0,3,31,28,59,-2.692308,17.523077,0
15,1995,0,31,3,0,3,16,19,35,-2.692308,17.523077,1
15,1998,0,22,4,0,4,16,17,33,-2.692308,17.523077,1
15,1998,2,23,3,0,4,40,32,72,-2.692308,17.523077,1
15,2000,0,25,3,0,2,14,15,29,-2.692308,17.523077,1
15,1995,2,16,3,0,2,38,39,77,-2.692308,17.523077,2
15,1996,0,23,4,0,1,17,17,34,-2.692308,17.523077,2
15,1997,2,13,2,0,2,36,27,63,-2.692308,17.523077,2
15,1999,2,11,1,0,2,38,29,67,-2.692308,17.523077,2
15,1996,3,92,9,0,6,48,50,98,-2.692308,17.523077,5
15,1995,3,87,10,0,6,47,53,100,-2.692308,17.523077,6
15,1997,3,95,8,0,6,48,48,96,-2.692308,17.523077,6
15,1998,3,68,3,0,6,46,45,91,-2.692308,17.523077,6
15,1999,3,73,3,0,6,45,48,93,-2.692308,17.523077,6
15,2000,3,65,3,0,5,45,50,95,-2.692308,17.523077,6
15,1996,4,138,20,0,11,128,111,239,-2.692308,17.523077,7
15,2000,4,112,7,0,12,115,109,224,-2.692308,17.523077,7
15,1997,4,134,15,0,12,129,110,239,-2.692308,17.523077,8
15,1998,4,124,11,0,16,127,109,236,-2.692308,17.523077,8
15,1999,4,112,9,0,10,118,107,225,-2.692308,17.523077,8
